relative_path,filename,session,policy,robot,file_type,size_bytes,sha256,validation_status
HWS-118-BACSPLUS/logs/received_server.csv,received_server.csv,support,,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-118-BACSPLUS/logs/serial_limo01.csv,serial_limo01.csv,support,,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-118-BACSPLUS/logs/serial_limo02.csv,serial_limo02.csv,support,,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-118-BACSPLUS/logs/serial_server.csv,serial_server.csv,support,,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-119-FIFO/fused_HWS-119-FIFO.csv,fused_HWS-119-FIFO.csv,HWS-119-FIFO,FIFO,,csv,1324256,846f3d4bce6803af673dd83d6f9cff9704eb114065927ddb2d9ca439fea9242c,VALID
HWS-119-FIFO/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-119-FIFO,FIFO,limo01,csv,88996,d68210c399626c63d4ae5ce710796193c02f1978b2ac560aa25bc1b7b370343f,VALID
HWS-119-FIFO/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-119-FIFO,FIFO,limo02,csv,89006,f38808a86e1f2324b55a61ee5ffaf32429ede991e8345ebb21955273c7900cc5,VALID
HWS-119-FIFO/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-119-FIFO,FIFO,limo01,txt,19,d4ecc087e98f728035951d8182fb8987a73ccedcd1641b684e111a1a7d962a4c,VALID
HWS-119-FIFO/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-119-FIFO,FIFO,limo01,txt,18,19a4f14a5ca45181f30bbea6be9da3a9e9b688f2c8630f9873c8b44b69b3bfa1,VALID
HWS-119-FIFO/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-119-FIFO,FIFO,limo02,txt,18,063a54a74dd0ac61fc43d37013937a6b877d502ecd269b475f9d395a014875b3,VALID
