policy,n_transmitted,delivered_share,mean_attempts,outlier_share,mean_theta_schedule,mean_theta_now,mean_theta_hat_code,mean_theta_arrival,mean_delta_theta,mean_delta_theta_inliers,mean_delta_theta_outliers,retention_R_mean,retention_R_median,I_exact_mean,I_exact_median,I_theta_arrival_mean,I_hat_mean,age_at_schedule_mean,predicted_arrival_age_mean,actual_arrival_age_mean,arrival_age_MAE,arrival_age_bias,arrival_age_spearman,code_dt_hat_MAE_vs_remaining_delay,I_exact_fraction_computed
fifo,3840,1.0,1.0,0.08776041666666666,0.537864057714322,0.6181962666689528,0.1715684327658175,0.44598280290494163,0.09188125480938036,0.05156086025693823,0.5109979969969318,0.8466924430293353,0.899569776173653,6.900120676861358,5.216000347106398,6.195593104594883,0.6861856398809524,125.50104166666667,161.62854533333334,125.61947900000001,36.00906633333333,36.00906633333333,0.9783917641147539,614.1482649333328,1.0
lifo,3840,1.0,1.0,0.07291666666666667,0.9150319236765324,0.9532545628001562,0.08733184138846468,0.7141521867730182,0.2008797369035144,0.16256586717973678,0.6880132233915445,0.9272895458858107,0.9975622045158214,7.520210847580397,5.703702107484229,7.0345759160995875,0.6492832961309525,12.566145833333334,22.952747133333325,13.192565000000009,10.284151399999985,9.76018213333332,0.20432695971588918,712.089069566666,1.0
random,3840,1.0,1.0,0.07526041666666666,0.6856608861022766,0.7514909187670149,0.236163773869961,0.5093610602811872,0.1762998258210892,0.13436643341129612,0.6915436889601038,0.8831599767746411,0.9309430966393669,7.447843419582346,5.407948508293943,6.781633154007538,0.6797039221938774,79.696875,104.74230353333333,80.56750033333334,24.761009466666664,24.174803199999996,0.9364453936605166,449.8656213333332,1.0
trust_only,3840,1.0,1.0,0.06276041666666667,0.635774511929429,0.6950894236730034,0.9870628949395377,0.49873964991551034,0.13703486201391873,0.1099973089882847,0.5408031331311668,0.878014631563273,0.921584793571158,7.289575736515449,5.325408465306009,6.663531827651675,0.753979724702381,100.9984375,125.71055400000002,101.43751610000002,24.6980379,24.273037900000002,0.9816083812753316,10.980585033333341,1.0
info_only,3840,1.0,1.0,0.08854166666666667,0.6523825609421369,0.6870673938290046,0.7130186480041998,0.4155406457760208,0.23684191516611616,0.19266416345133264,0.6916128887006523,0.8489139630422448,0.8943425944339469,7.2806089165014924,5.425449252462851,6.450614617276269,0.7614975286989797,107.33125,124.26241460000001,107.69872590000001,16.965975566666664,16.5636887,0.8977217424206116,128.44727183333328,1.0
bacs_gated,3840,1.0,1.0,0.08619791666666667,0.6531928512407869,0.6873642549940467,0.7171563600940724,0.42041109233232377,0.23278175890846306,0.18952372089362612,0.6913692374403752,0.8510567577632018,0.896066067673631,7.292864896483385,5.445357318721725,6.47464969838779,0.7612822863520408,107.23958333333333,123.96569493333335,107.60705923333335,16.760922566666668,16.358635699999997,0.8982830366839032,115.82735203333331,1.0
plus_0.30_6,3840,1.0,1.0,0.08385416666666666,0.6486311227485548,0.6825305053495022,0.7259483667636951,0.41874508974444286,0.22988603300411203,0.1886905475604797,0.6799659019193247,0.848380790429213,0.8943147995298257,7.215546046210323,5.361184450893106,6.404085407591783,0.894830496358905,109.85364583333333,126.84019620000001,110.23934963333336,17.04742183333333,16.600846566666668,0.8979649000380123,108.77975846666666,1.0
tw_now,3840,1.0,1.0,0.06197916666666667,0.7064115609404127,0.7638581765809569,0.6142957512318098,0.5508771349090225,0.15553442603139003,0.12669900611425258,0.591942756037815,0.8914429403316689,0.9368035384401937,7.216121851019623,5.344515069100534,6.631952374759212,0.8741406003498776,75.6125,99.22409633333334,75.99647660000001,23.728343133333333,23.227619733333327,0.9000111661163324,183.1424307,1.0
tw_arrival,3840,1.0,1.0,0.06145833333333333,0.7041558794788839,0.7447436002735888,0.6597059934479371,0.5378618909240788,0.16629398855480518,0.14006357900959934,0.5668634631349823,0.8902000599382988,0.9321255581122105,7.229135714721911,5.33391397572206,6.634365952027084,0.8786454089355203,83.21510416666666,100.61710180000001,83.59541613333334,17.523310733333332,17.021685666666663,0.8986518024127494,151.60842186666667,1.0
tw_arrival_sub,3840,1.0,1.0,0.06354166666666666,0.7055167290428214,0.7468489452136898,0.6482469373847465,0.5401891332287415,0.16532759581407971,0.13768204653654456,0.5727595433633275,0.8908517204010846,0.932914848078161,7.185022264735371,5.279380332043624,6.593643333646755,0.8642130109763365,82.33489583333333,99.84902306666667,83.20298346666668,18.034389599999997,16.646039599999998,0.9060131070487772,154.9718275666667,1.0
