policy,outliers_transmitted,outlier_weight_share,align_mean,align_median,catastrophic_share,server_theta_per_outlier
fifo,337,0.00327595687547905,0.3060904413181456,0.27132952884518446,0.125,0.014478199925745875
lifo,280,0.016612790964056035,0.2841597685137981,0.2352282314989722,0.08333333333333333,0.1898307380622401
random,289,0.004708116950111485,0.22320377070344596,0.20014314209369488,0.016666666666666666,0.022933810712892792
trust_only,241,0.023851138622587975,0.319924527372544,0.2200097617563192,0.18333333333333332,0.1706090232849388
info_only,340,0.0031006218826161672,0.22309031339486418,0.19581840584921384,0.03333333333333333,0.013029109857530212
bacs_gated,331,0.003026707732892976,0.21912792330404293,0.19399213207441307,0.025,0.013111472361209282
plus_0.30_6,322,0.0031358001184677146,0.20430013322258506,0.18101845648745765,0.03333333333333333,0.014273302532542336
tw_now,238,0.023796728118300966,0.29436241996192075,0.2039005005113102,0.175,0.19315997237580101
tw_arrival,236,0.02622272336286139,0.3057876444923402,0.2174501450945101,0.20833333333333334,0.2142253115682789
tw_arrival_sub,244,0.026240900694835378,0.3018614413407766,0.21248354240200584,0.20833333333333334,0.20752939971358123
