seed,n_robots,w_obs,obs_ref,gamma_rule,variant,align_rmse,pose_rmse,n_delivered,frozen_plus_0.60_5,frozen_plus_0.30_6,matches_frozen_0.60_5,matches_frozen_0.30_6
10,2,0.6,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.6,5,fixed,current,0.25937026130906154,0.508376483697613,28,0.1830537300791262,0.2280285760383981,False,False
10,2,0.6,5,derived,current,0.20779565068924774,0.3966878590503151,32,0.1830537300791262,0.2280285760383981,False,False
11,2,0.6,5,deferral_derived,current,0.1746961024149704,0.40031961853257464,32,0.1822760138975189,0.1746961024149704,False,True
11,2,0.6,5,fixed,current,0.2335941538658659,0.41904707747326325,29,0.1822760138975189,0.1746961024149704,False,False
11,2,0.6,5,derived,current,0.20108200071124296,0.42900055319382246,32,0.1822760138975189,0.1746961024149704,False,False
12,2,0.6,5,deferral_derived,current,0.19766687250819273,0.329410219300343,32,0.1976668725081927,0.1976668725081927,True,True
12,2,0.6,5,fixed,current,0.24542887201810074,0.35420234220369806,29,0.1976668725081927,0.1976668725081927,False,False
12,2,0.6,5,derived,current,0.23451169704479688,0.3381777406946893,32,0.1976668725081927,0.1976668725081927,False,False
13,2,0.6,5,deferral_derived,current,0.1380458614068169,0.3189703060113468,32,0.1994873645722748,0.1380458614068169,False,True
13,2,0.6,5,fixed,current,0.17638363724446804,0.29588518304169875,29,0.1994873645722748,0.1380458614068169,False,False
13,2,0.6,5,derived,current,0.1594287650831433,0.2725795368617285,32,0.1994873645722748,0.1380458614068169,False,False
14,2,0.6,5,deferral_derived,current,0.15720027867259703,0.4462770902557885,32,0.1698665743329097,0.157200278672597,False,True
14,2,0.6,5,fixed,current,0.2594245422299821,0.48005957321826886,29,0.1698665743329097,0.157200278672597,False,False
14,2,0.6,5,derived,current,0.1953444447824852,0.49830533866811244,32,0.1698665743329097,0.157200278672597,False,False
15,2,0.6,5,deferral_derived,current,0.23063242217874202,0.3198722281782545,32,0.1737158851729263,0.230632422178742,False,True
15,2,0.6,5,fixed,current,0.1614453456739435,0.3681750971854402,29,0.1737158851729263,0.230632422178742,False,False
15,2,0.6,5,derived,current,0.21534393601578314,0.2820957062525646,32,0.1737158851729263,0.230632422178742,False,False
16,2,0.6,5,deferral_derived,current,0.18865094885133746,0.33351499048719435,32,0.1890637714433172,0.1886509488513374,False,True
16,2,0.6,5,fixed,current,0.20802825178682322,0.3319748654312055,29,0.1890637714433172,0.1886509488513374,False,False
16,2,0.6,5,derived,current,0.16426823748228409,0.3054394248047868,32,0.1890637714433172,0.1886509488513374,False,False
17,2,0.6,5,deferral_derived,current,0.2220771885066761,0.35775536071354885,32,0.2220771885066761,0.221972018701006,True,False
17,2,0.6,5,fixed,current,0.22568182000314158,0.3271388351271514,29,0.2220771885066761,0.221972018701006,False,False
17,2,0.6,5,derived,current,0.21833039708898333,0.40857307860556724,32,0.2220771885066761,0.221972018701006,False,False
18,2,0.6,5,deferral_derived,current,0.17849135014188652,0.5500147621552104,32,0.1839584863337243,0.1784913501418865,False,True
18,2,0.6,5,fixed,current,0.20840305346965884,0.6036438144922622,29,0.1839584863337243,0.1784913501418865,False,False
18,2,0.6,5,derived,current,0.30674688963333646,0.934251246638851,32,0.1839584863337243,0.1784913501418865,False,False
19,2,0.6,5,deferral_derived,current,0.14922367051012045,0.3467259937790418,32,0.1492236705101204,0.1509188248213008,True,False
19,2,0.6,5,fixed,current,0.19351707449508318,0.4998261183716693,29,0.1492236705101204,0.1509188248213008,False,False
19,2,0.6,5,derived,current,0.18487066423684084,0.51294937770952,32,0.1492236705101204,0.1509188248213008,False,False
20,2,0.6,5,deferral_derived,current,0.1742927979225816,0.6040049038200164,32,0.1569364533549165,0.1742927979225816,False,True
20,2,0.6,5,fixed,current,0.2369799440810224,0.5951981116812091,29,0.1569364533549165,0.1742927979225816,False,False
20,2,0.6,5,derived,current,0.22152540372881147,0.5512404278109561,32,0.1569364533549165,0.1742927979225816,False,False
21,2,0.6,5,deferral_derived,current,0.2149013895082459,0.5517352719372174,32,0.2102157694195822,0.2149013895082459,False,True
21,2,0.6,5,fixed,current,0.25865587982071286,0.6790246042790158,29,0.2102157694195822,0.2149013895082459,False,False
21,2,0.6,5,derived,current,0.25063518684327074,0.6979311382504889,32,0.2102157694195822,0.2149013895082459,False,False
