policy,n_transmitted,delivered_share,mean_attempts,outlier_share,mean_theta_schedule,mean_theta_now,mean_theta_hat_code,mean_theta_arrival,mean_delta_theta,mean_delta_theta_inliers,mean_delta_theta_outliers,retention_R_mean,retention_R_median,I_exact_mean,I_exact_median,I_theta_arrival_mean,I_hat_mean,age_at_schedule_mean,predicted_arrival_age_mean,actual_arrival_age_mean,arrival_age_MAE,arrival_age_bias,arrival_age_spearman,code_dt_hat_MAE_vs_remaining_delay,I_exact_fraction_computed
fifo,3840,0.9932291666666667,1.2513020833333333,0.08177083333333333,0.45700163281283146,0.5428139313379176,0.20183976964350603,0.38506530993341426,0.0719363228794172,0.03999015783391781,0.4306693736769677,0.8255791215601628,0.8759884220589027,7.027723201229451,5.276727203346133,6.197996915999052,0.6964268973214286,117.8828125,149.93811293055762,118.07753158678554,31.863421490599567,31.860581343772086,0.9757107814544177,390.29037444414604,1.0
lifo,3840,0.9932291666666667,1.2513020833333333,0.06432291666666666,0.9030143602731968,0.9423213882115213,0.08037752683175331,0.7033520853679432,0.1996622749052536,0.16745922996835255,0.6681057585420362,0.9206647909163667,0.9974065761868971,7.5368300446927,5.718049787034451,7.00822292086558,0.6540206738945578,12.538541666666667,20.392331919263437,13.30969844153121,7.90851186296576,7.082633477732225,0.2559458944502109,476.2383588150696,1.0
random,3840,0.9932291666666667,1.2513020833333333,0.07630208333333334,0.619153967678434,0.6916288842911789,0.24442235802232343,0.45708096140924576,0.16207300626918816,0.12042817981387109,0.6662170316514736,0.859134088248746,0.9056351245280441,7.457034008075508,5.458740393333072,6.675527130177087,0.6848569036989797,79.02239583333333,101.99543884864448,79.91812744625067,22.784087014727053,22.07731140239384,0.9279710977622427,296.45722880462574,1.0
trust_only,3840,0.9932291666666667,1.2513020833333333,0.06510416666666667,0.5614951302452208,0.6323122050297703,0.9843397897778903,0.4445763388415489,0.11691879140367183,0.09262780611154432,0.46573734019862295,0.8522152095790498,0.8991168115383159,7.291700880538303,5.328742728089282,6.548832536749237,0.7472741018282313,95.61197916666667,120.30950157183933,96.28705284530677,24.540342342796087,24.022448726532556,0.9762808980828679,11.192435319656562,1.0
info_only,3840,0.9932291666666667,1.2513020833333333,0.07942708333333333,0.586415797665622,0.6236723291937494,0.6759097220982505,0.36920709278134706,0.21720870488427513,0.17785777491167762,0.6732924342388071,0.8256004540806292,0.8680097215041462,7.305093659101674,5.481464454069598,6.370773217564399,0.7543319515306123,103.37447916666666,119.75881155306595,103.69915386261144,16.542832479255484,16.059657690454493,0.9051739980400404,100.30609904749636,1.0
bacs_gated,3840,0.9932291666666667,1.2513020833333333,0.07708333333333334,0.5875163096373316,0.6241144076303438,0.6837082128757074,0.3749217378653086,0.2125945717720231,0.17439878681644347,0.6699116727266656,0.8281005364741606,0.8698503211175865,7.309374282558133,5.433558933482704,6.3905342248909465,0.7541467633928571,103.18802083333334,119.37533066790601,103.50827142947038,16.351042140680843,15.867059238435615,0.9053516023390821,88.55189890722555,1.0
plus_0.30_6,3840,0.9932291666666667,1.2513020833333333,0.07526041666666666,0.5828928190100612,0.6195924499446082,0.6856015456763785,0.3728941310049828,0.20999868800507832,0.1738762008552383,0.6538428121195478,0.8247789418375379,0.867905561718769,7.238809024296787,5.378694677610161,6.321504433585049,0.8878150737586182,105.62239583333333,122.29630687938824,105.97377171263769,16.846253633283716,16.322535166750573,0.9043356041952505,87.42382997824234,1.0
tw_now,3840,0.9932291666666667,1.2513020833333333,0.06432291666666666,0.6545577645156475,0.7275007626012466,0.5450149105548285,0.5157364002483137,0.13882136426733377,0.10992175874571597,0.559211172523094,0.8679399620051281,0.9221780638985724,7.122889255386169,5.231075123361309,6.450023340694796,0.8533792457219161,67.01197916666666,91.37898141859655,67.45547714315681,24.49720547034776,23.923504275439758,0.8989894504675564,152.98201552763416,1.0
tw_arrival,3840,0.9932291666666667,1.2513020833333333,0.0609375,0.653508855239847,0.704142833416148,0.5991824215607432,0.4994702907724224,0.15403856446742453,0.12771631130966643,0.5596712349241587,0.8675782081915729,0.9149707270154785,7.154188490271881,5.254006581465104,6.470360637661723,0.8593891464236795,74.51354166666667,92.19798453882302,74.81709143156793,17.94857940966178,17.38089310725509,0.8974461476067229,125.96142391271995,1.0
tw_arrival_sub,3840,0.9932291666666667,1.2513020833333333,0.0625,0.6537966180152839,0.7046500034907305,0.595514750228759,0.49935204330379207,0.15444457471149178,0.12678932097723825,0.569273380725295,0.8684611325700705,0.9172599208729719,7.117779906344922,5.21151070481192,6.436119217122469,0.8462280069678971,74.215625,91.88682055211456,74.99072348190879,18.336530577616696,16.896097070205787,0.9039892161648291,125.09234234737252,1.0
