n_robots,seed,arm,align_rmse,pose_rmse,n_delivered,trust_yield
2,10,fifo,0.25446692159560397,0.3435944287084449,32,0.45180170219894217
2,10,lifo,0.18847817041785023,0.7575808147524066,32,0.6122966822954528
2,10,random,0.35247690957810124,0.5087452861075574,32,0.32939583911732506
2,10,trust_only,0.22282938693306878,0.6217198033544756,32,0.3673744285130292
2,10,info_only,0.22802857603839813,0.6502064729415701,32,0.38249023475090327
2,10,bacs_gated,0.22802857603839813,0.6502064729415701,32,0.38249023475090327
2,10,plus_0.30_6,0.22802857603839813,0.6502064729415701,32,0.38249023475090327
2,11,fifo,0.2525704363460536,0.36440494026345366,32,0.4426379286544949
2,11,lifo,0.21631546648539554,1.0585640691868483,32,0.561178607641731
2,11,random,0.17030302470338513,0.25679717017109177,32,0.4764021469969865
2,11,trust_only,0.16180375934850977,0.3099461831479832,32,0.47078017167469743
2,11,info_only,0.1606643516726562,0.3450213801253488,32,0.3655561326622697
2,11,bacs_gated,0.1606643516726562,0.3450213801253488,32,0.3655561326622697
2,11,plus_0.30_6,0.1746961024149704,0.40031961853257464,32,0.4148079623031934
2,12,fifo,0.3699930185725331,0.36979059636099126,32,0.5212365074353441
2,12,lifo,0.17629796458562566,0.41180274991336524,32,0.5607354706136275
2,12,random,0.14105386467298955,0.3320017749763594,32,0.5330368707769957
2,12,trust_only,0.16538506869385994,0.361896537405118,32,0.6277283059503518
2,12,info_only,0.16105066623560305,0.25390276284129565,32,0.5514631739967517
2,12,bacs_gated,0.16105066623560305,0.25390276284129565,32,0.5514631739967517
2,12,plus_0.30_6,0.19766687250819273,0.329410219300343,32,0.5422460944540315
2,13,fifo,0.1379770333052536,0.3085297766817045,32,0.45991064967586637
2,13,lifo,0.17427987910783155,0.39927202954893776,32,0.5881458538614003
2,13,random,0.1466929759557448,0.3765332931342501,32,0.4772387263405778
2,13,trust_only,0.16658624250491347,0.34949388072381277,32,0.5102313866739043
2,13,info_only,0.1380458614068169,0.3189703060113468,32,0.5137550544008529
2,13,bacs_gated,0.1380458614068169,0.3189703060113468,32,0.5137550544008529
2,13,plus_0.30_6,0.1380458614068169,0.3189703060113468,32,0.5137550544008529
2,14,fifo,0.34372700040300636,0.42642540499086584,32,0.4130202577922026
2,14,lifo,0.12535093839000042,0.3808989864819444,32,0.6237823178451225
2,14,random,0.22529107625434744,0.5132499668357022,32,0.4677388772618533
2,14,trust_only,0.19234692085177424,0.43281115219247485,32,0.4471484866675504
2,14,info_only,0.16916149153084262,0.39521151605466753,32,0.4080483875745321
2,14,bacs_gated,0.16916149153084262,0.39521151605466753,32,0.4080483875745321
2,14,plus_0.30_6,0.15720027867259703,0.4462770902557885,32,0.38176477696543387
2,15,fifo,0.30872492422723957,0.7084145495844592,32,0.37731676331668834
2,15,lifo,0.18772087705710788,0.2334383107294633,32,0.6588109493538308
2,15,random,0.14487513794464846,0.36544086452629915,32,0.6229840133516662
2,15,trust_only,0.170087272399992,0.36564754741578975,32,0.509034954659181
2,15,info_only,0.2100449007760372,0.34224467374536127,32,0.4158782487706997
2,15,bacs_gated,0.2100449007760372,0.34224467374536127,32,0.4158782487706997
2,15,plus_0.30_6,0.23063242217874202,0.3198722281782545,32,0.39075908380716906
2,16,fifo,0.47718508330375864,0.4275596399355533,32,0.38091991672631353
2,16,lifo,0.27792292636711285,0.5472237884744093,32,0.6501805801217572
2,16,random,0.18117030293886838,0.19230416564819283,32,0.6817628735214726
2,16,trust_only,0.19051858448109021,0.3754668366955964,32,0.5353214664446184
2,16,info_only,0.17689932138421646,0.3180446189234944,32,0.5106347551779056
2,16,bacs_gated,0.17689932138421646,0.3180446189234944,32,0.5106347551779056
2,16,plus_0.30_6,0.18865094885133746,0.33351499048719435,32,0.4683539545126131
2,17,fifo,0.34977241925448355,0.3164393349072434,32,0.5105545630591732
2,17,lifo,0.1609837677261588,0.23300035735236127,32,0.6563490762159245
2,17,random,0.15638778569711642,0.20630108889740065,32,0.48655647974575095
2,17,trust_only,0.21588808213570793,0.31983704715396954,32,0.4348297299653837
2,17,info_only,0.23416381930695512,0.43370639054901877,32,0.45634132403635896
2,17,bacs_gated,0.23416381930695512,0.43370639054901877,32,0.45634132403635896
2,17,plus_0.30_6,0.22197201870100605,0.3763804322805994,32,0.4463449221509521
2,18,fifo,0.6887985369363494,0.8963419007925638,32,0.3984049089675004
2,18,lifo,0.1685542430467963,0.4512900467492077,32,0.6759672266469328
2,18,random,0.12877602929030274,0.4084265798937125,32,0.596671174492813
2,18,trust_only,0.18290757595568505,0.55269146848259,32,0.5100216311447269
2,18,info_only,0.17849135014188652,0.5500147621552104,32,0.37894593694485285
2,18,bacs_gated,0.17849135014188652,0.5500147621552104,32,0.37894593694485285
2,18,plus_0.30_6,0.17849135014188652,0.5500147621552104,32,0.37894593694485285
2,19,fifo,0.18977900847559875,0.3055941775924346,32,0.4282693605480939
2,19,lifo,0.20806444760232007,0.6960749355380073,32,0.6749510767219571
2,19,random,0.13330942148793493,0.2673295837329257,32,0.5980981819928921
2,19,trust_only,0.18360451650726797,0.39904629102854583,32,0.512316575647597
2,19,info_only,0.15091882482130084,0.341117039432104,32,0.5136761110985194
2,19,bacs_gated,0.15091882482130084,0.341117039432104,32,0.5136761110985194
2,19,plus_0.30_6,0.15091882482130084,0.341117039432104,32,0.5136761110985194
2,20,fifo,0.3316485718828045,0.3797939555121804,32,0.38299490345533294
2,20,lifo,0.2276638589519869,0.5455569849658746,32,0.6127787581357715
2,20,random,0.11742873669150093,0.22633712387922128,32,0.5061286929402133
2,20,trust_only,0.22548989461698404,0.6878638167514162,32,0.4591011541661627
2,20,info_only,0.17429336503610102,0.6040379038816225,32,0.47022452241039303
2,20,bacs_gated,0.17429336503610102,0.6040379038816225,32,0.47022452241039303
2,20,plus_0.30_6,0.1742927979225816,0.6040049038200164,32,0.46978278314220573
2,21,fifo,0.43734335567346155,0.549152533895906,32,0.4255660896882131
2,21,lifo,0.24323453872610118,0.578742539240925,32,0.49715305649957175
2,21,random,0.1627024301193542,0.6630083320442388,32,0.48235772405880073
2,21,trust_only,0.1878240404246572,0.5373477893248004,32,0.5443077148659504
2,21,info_only,0.20879813075891632,0.4884498451458438,32,0.4622720112051939
2,21,bacs_gated,0.20879813075891632,0.4884498451458438,32,0.4622720112051939
2,21,plus_0.30_6,0.2149013895082459,0.5517352719372174,32,0.4691576110591949
2,22,fifo,0.28678953061883466,0.4338164665154671,32,0.26606085199329454
2,22,lifo,0.2647552217859004,0.46506584311025906,32,0.384223627251001
2,22,random,0.2789285376215896,0.6108209379317504,32,0.2883048996522538
2,22,trust_only,0.2647769629284813,0.40930791942346667,32,0.45963789663330895
2,22,info_only,0.22837835450683472,0.26798158406318795,32,0.38782977068108637
2,22,bacs_gated,0.22837835450683472,0.26798158406318795,32,0.38782977068108637
2,22,plus_0.30_6,0.33059357883851437,0.5121720966549661,32,0.2896238725434872
2,23,fifo,0.3819395654222817,0.31652811976592243,32,0.42181253998921897
2,23,lifo,0.2751698654549776,0.6306809742036141,32,0.496364468404182
2,23,random,0.15202594710524156,0.3242336448035666,32,0.5612323011993055
2,23,trust_only,0.17892845720803957,0.3702078753616401,32,0.501040167134583
2,23,info_only,0.1574535222223917,0.43323489296661977,32,0.3593187616866889
2,23,bacs_gated,0.1574535222223917,0.43323489296661977,32,0.3593187616866889
2,23,plus_0.30_6,0.16336886451421098,0.4379939595064352,32,0.35194435754350034
2,24,fifo,0.3871801237480561,0.2111292977729523,32,0.38979559937239805
2,24,lifo,0.17210200515238963,0.5906579890748633,32,0.6844307612782732
2,24,random,0.14416230457412413,0.39394210487408465,32,0.5788961739827203
2,24,trust_only,0.13110749752729295,0.37817999120229173,32,0.5232328116240983
2,24,info_only,0.14532631995707446,0.3708025271446004,32,0.4167213187684484
2,24,bacs_gated,0.14532631995707446,0.3708025271446004,32,0.4167213187684484
2,24,plus_0.30_6,0.15707094520398462,0.4133998861940868,32,0.45210533241044226
2,25,fifo,0.1892751818362662,0.2203112709483994,32,0.4147130745168819
2,25,lifo,0.12572708405652072,0.4032070425823524,32,0.7300929017802245
2,25,random,0.11917221588699634,0.31393362108400596,32,0.6156818446043802
2,25,trust_only,0.2244073883038151,0.19852118062002064,32,0.5960295108831469
2,25,info_only,0.14658218503051698,0.15926279376219615,32,0.5561761435842065
2,25,bacs_gated,0.14658218503051698,0.15926279376219615,32,0.5561761435842065
2,25,plus_0.30_6,0.14658218503051698,0.15926279376219615,32,0.5561761435842065
2,26,fifo,0.525777960864523,0.75326377316919,32,0.3304035492855255
2,26,lifo,0.2594961754913714,0.5489271065331914,32,0.4277355134386471
2,26,random,0.25230035865133266,0.5386795738855988,32,0.3416879565883106
2,26,trust_only,0.20505088313135908,0.4634022798839588,32,0.32227882592727575
2,26,info_only,0.21624031604620506,0.42847469708592456,32,0.17799314606825717
2,26,bacs_gated,0.21624031604620506,0.42847469708592456,32,0.17799314606825717
2,26,plus_0.30_6,0.21481712167486722,0.40338438830947143,32,0.17803249155016243
2,27,fifo,0.1591620587076561,0.13403004367052676,32,0.5101132376370372
2,27,lifo,0.1822816464251537,0.5063251054552728,32,0.4524120861633861
2,27,random,0.12808909227768858,0.3240877200514479,32,0.4961162049075469
2,27,trust_only,0.24261952297138278,0.5948602351001789,32,0.44922922657171993
2,27,info_only,0.15187378651045558,0.27334449513576997,32,0.4423162383957417
2,27,bacs_gated,0.15187378651045558,0.27334449513576997,32,0.4423162383957417
2,27,plus_0.30_6,0.1291249084455541,0.28549564177420256,32,0.49265614156822307
2,28,fifo,0.21211030891261506,0.3881462125400115,32,0.40405715754631677
2,28,lifo,0.180930956285069,0.2935502965366783,32,0.6278070709380467
2,28,random,0.2371856508975261,0.4596342017872472,32,0.45374614613070313
2,28,trust_only,0.14396458566925163,0.4102185823553229,32,0.42407073342767776
2,28,info_only,0.14568261487907683,0.3688315741455915,32,0.3705568448212143
2,28,bacs_gated,0.14568261487907683,0.3688315741455915,32,0.3705568448212143
2,28,plus_0.30_6,0.14980145038748444,0.35815530760288916,32,0.35873997674213254
2,29,fifo,0.2341258104770361,0.6170612680873964,32,0.46158835027199613
2,29,lifo,0.18064158959690346,0.5167102596038269,32,0.547921357539658
2,29,random,0.16530998276405187,0.3833967515834623,32,0.513045453116506
2,29,trust_only,0.16374864242096457,0.3751089745163167,32,0.4975716693639791
2,29,info_only,0.21342165373528268,0.5956478688321144,32,0.3711946624730945
2,29,bacs_gated,0.21342165373528268,0.5956478688321144,32,0.3711946624730945
2,29,plus_0.30_6,0.1849758900231464,0.5576468417860486,32,0.41928627673186647
2,30,fifo,1.2622463640657429,0.9701059456407648,32,0.45686139664167147
2,30,lifo,0.20740471325585433,0.346490271755142,32,0.48407361991559417
2,30,random,0.2163376300278228,0.4329128228769657,32,0.4083886810894767
2,30,trust_only,0.18474029916143286,0.3512682114451756,32,0.45147277661747764
2,30,info_only,0.17116510999134035,0.3651712903615853,32,0.32733859375331137
2,30,bacs_gated,0.17116510999134035,0.3651712903615853,32,0.32733859375331137
2,30,plus_0.30_6,0.1711637979294375,0.36521916364589074,32,0.3305042815621716
2,31,fifo,0.23461121774324026,0.5806428967697747,32,0.38304450924453276
2,31,lifo,0.2417786877030451,0.7186415677243467,32,0.48299375227027286
2,31,random,0.14324563554234376,0.3574045683512231,32,0.32987819694998366
2,31,trust_only,0.15216901657477755,0.400178320968079,32,0.5962597422588455
2,31,info_only,0.16872886751580787,0.30834959918469845,32,0.5047313340337065
2,31,bacs_gated,0.16872886751580787,0.30834959918469845,32,0.5047313340337065
2,31,plus_0.30_6,0.1679776634615637,0.31454490922824135,32,0.48013870195447444
2,32,fifo,0.2579091689948595,0.3647257197420009,32,0.4952558428548323
2,32,lifo,0.14705743086535444,0.36628650654408984,32,0.7669259315343411
2,32,random,0.13307517216608997,0.3037312256934975,32,0.6196444735243033
2,32,trust_only,0.12112932258842855,0.24265867016549703,32,0.5578263895061558
2,32,info_only,0.1497927541713818,0.2789344385208562,32,0.4817907073525183
2,32,bacs_gated,0.1497927541713818,0.2789344385208562,32,0.4817907073525183
2,32,plus_0.30_6,0.1497927541713818,0.2789344385208562,32,0.4817907073525183
2,33,fifo,0.3586949606233016,0.26009771085943434,32,0.5086693037860867
2,33,lifo,0.15808877600213853,0.37740958099991984,32,0.622891475066889
2,33,random,0.1561724974519156,0.27534636707312904,32,0.5207491066751748
2,33,trust_only,0.5169686462147861,0.37453911645104626,32,0.4181813552464032
2,33,info_only,0.20867869400956485,0.5337717250932109,32,0.3426876706830884
2,33,bacs_gated,0.20867869400956485,0.5337717250932109,32,0.3426876706830884
2,33,plus_0.30_6,0.21958236605099934,0.5625520823576944,32,0.347967113854909
2,34,fifo,0.23834877008175656,0.5563530340187416,32,0.41506309707421096
2,34,lifo,0.14669049186215802,0.4155350712734024,32,0.6631319046840096
2,34,random,0.17735466490142607,0.25043681062258516,32,0.43605673143774604
2,34,trust_only,0.1354590061936037,0.21588866330980955,32,0.4787089062517708
2,34,info_only,0.11544312426677354,0.15333849841848868,32,0.46203507151782924
2,34,bacs_gated,0.11544312426677354,0.15333849841848868,32,0.46203507151782924
2,34,plus_0.30_6,0.12334462900230839,0.15114701595703645,32,0.463261825082803
2,35,fifo,0.22077986431758245,0.3630447176321472,32,0.425420172508306
2,35,lifo,0.16425482305429115,0.3714065538182583,32,0.6296728480493352
2,35,random,0.15951162087267634,0.4249940223249796,32,0.3679141825364094
2,35,trust_only,0.17469903173101536,0.3610431514804888,32,0.4678774998158528
2,35,info_only,0.14483080614786892,0.398663850856964,32,0.42086388505908706
2,35,bacs_gated,0.14483080614786892,0.398663850856964,32,0.42086388505908706
2,35,plus_0.30_6,0.14717902640878214,0.3971353404915663,32,0.42047200831334336
2,36,fifo,0.2347747236571619,0.47492553825296485,32,0.3765843113369418
2,36,lifo,0.2803592315882511,0.35391872281649017,32,0.430760997626614
2,36,random,0.2205731368782665,0.7887097801914515,32,0.2763191574604661
2,36,trust_only,0.22665041855611556,0.24529410200959015,32,0.40170692951933745
2,36,info_only,0.20141203618526235,0.2607014518092546,32,0.2678251595965128
2,36,bacs_gated,0.20141203618526235,0.2607014518092546,32,0.2678251595965128
2,36,plus_0.30_6,0.20508191082121874,0.2640767208925481,32,0.27502132541988317
2,37,fifo,0.2440775694296297,0.26571623481740564,32,0.378997698633451
2,37,lifo,0.3248489200914166,0.5750454946475463,32,0.5124711222996474
2,37,random,0.1763750724201047,0.37064795027658787,32,0.48438474306400914
2,37,trust_only,0.22511900549633923,0.40687361307884223,32,0.44271659196728075
2,37,info_only,0.16825694563105245,0.2653001259923773,32,0.34903234186041177
2,37,bacs_gated,0.16825694563105245,0.2653001259923773,32,0.34903234186041177
2,37,plus_0.30_6,0.16825694563105245,0.2653001259923773,32,0.34903234186041177
2,38,fifo,0.2501004475880046,0.5680735079758281,32,0.473156675879939
2,38,lifo,0.20012331066237743,0.6251661148129908,32,0.6120092536619347
2,38,random,0.15810017207368315,0.5601671696707018,32,0.5545504109389165
2,38,trust_only,0.17159554057777104,0.4478327499496531,32,0.5289384632119369
2,38,info_only,0.18029605356507653,0.5565737052854918,32,0.4841901483162519
2,38,bacs_gated,0.18029605356507653,0.5565737052854918,32,0.4841901483162519
2,38,plus_0.30_6,0.17707758706865126,0.5076586379886835,32,0.4764325162661852
2,39,fifo,0.20957097402960498,0.3783808529599941,32,0.46410020680301933
2,39,lifo,0.24323122469846242,0.5172938192454102,32,0.5786687053536482
2,39,random,0.17239590305622904,0.3237793212846727,32,0.44484470633906037
2,39,trust_only,0.1896361994869913,0.44887828725046003,32,0.5729420011260106
2,39,info_only,0.1505803249816755,0.2841312775452578,32,0.4594224869173916
