policy,metric,n,mean,std,median,min,max,p5,p25,p75,p95,p99,status
BACS,deferral_s,2056,171.61565124984486,89.2733937508489,151.5270646135,30.777577121,600.0,67.823521692,108.05165330925,214.06797678875,343.2836836835,472.37398429395034,COMPUTED
BACS,channel_delay_s,139,0.16999701061870504,0.002980327428862388,0.169954494,0.165073653,0.174985888,0.1654748247,0.16736180750000001,0.17277150400000002,0.1744320478,0.17481848086000001,COMPUTED
BACS,packet_age_s,139,157.60311687886332,73.41347305767181,142.045240144,43.975604578,450.776317943,69.7587380035,104.0948237585,188.18288049350002,294.8564272823999,384.8595883286002,COMPUTED
BACS+,deferral_s,2090,175.8740050175885,91.38259660903003,156.43761807200002,27.930840972,600.0,67.069564375,110.5465466845,218.2701378825,353.50137461879984,481.4448037486805,COMPUTED
BACS+,channel_delay_s,137,0.17033687186861313,0.0029208104991512583,0.170684094,0.165033522,0.174970271,0.1658547916,0.167953058,0.172841819,0.174544634,0.17486499384,COMPUTED
BACS+,packet_age_s,137,181.54101244634307,89.89159840942344,166.24735892,42.93383772,463.342581984,70.737560816,117.251453292,220.843362405,373.1636253018,447.80387743539984,COMPUTED
FIFO,deferral_s,2086,175.27752571103355,93.64538270834487,154.434238133,29.718464936,600.0,70.25994597900001,109.974160187,213.3035540325,356.57010847050003,518.0110507099002,COMPUTED
FIFO,channel_delay_s,141,0.17017397829787234,0.0028707545349538712,0.170198053,0.165119757,0.174985218,0.165621256,0.167521078,0.172444163,0.174425718,0.1749412192,COMPUTED
FIFO,packet_age_s,141,178.4763568888156,99.82859707970528,153.670685701,43.071695412,600.170078931,70.495174089,112.455851088,225.45086348,365.856721939,539.9534174415996,COMPUTED
