policy,outliers_transmitted,outlier_weight_share,align_mean,align_median,catastrophic_share,server_theta_per_outlier
fifo,188,0.01619860629200815,0.449936814448399,0.36067875329444643,0.30833333333333335,0.04243891790916372
lifo,239,0.12150274260815887,0.6475680545247317,0.5156689770992449,0.5083333333333333,0.5218049470395097
random,119,0.02445455736415304,0.41261912016690777,0.3213888799261892,0.2,0.10817988436646418
trust_only,235,0.11923711804895148,0.5114730076920758,0.42889015444865053,0.43333333333333335,0.314636707730099
info_only,217,0.02302460764919868,0.44034251949337094,0.3358178787049322,0.25833333333333336,0.04347501639085199
bacs_gated,208,0.022410810621901214,0.4371791747190335,0.3398934648726347,0.25,0.04561566451656518
plus_0.30_6,212,0.010433586231517933,0.3998834364549223,0.34176450517103796,0.2,0.026785686306455603
tw_now,234,0.12207635327678665,0.540884868904994,0.4796566519567973,0.475,0.3860661693073739
tw_arrival,228,0.12888824168522375,0.5343972442262437,0.4602663960287793,0.475,0.39564629279249336
tw_arrival_sub,239,0.13943863215200178,0.5302752648325215,0.4962141417529406,0.5,0.37707474533330937
