policy,n_transmitted,delivered_share,mean_attempts,outlier_share,mean_theta_schedule,mean_theta_now,mean_theta_hat_code,mean_theta_arrival,mean_delta_theta,mean_delta_theta_inliers,mean_delta_theta_outliers,retention_R_mean,retention_R_median,I_exact_mean,I_exact_median,I_theta_arrival_mean,I_hat_mean,age_at_schedule_mean,predicted_arrival_age_mean,actual_arrival_age_mean,arrival_age_MAE,arrival_age_bias,arrival_age_spearman,code_dt_hat_MAE_vs_remaining_delay,I_exact_fraction_computed
fifo,1797,1.0,1.0,0.10461880912632164,0.45219702137682816,0.6176198530148421,0.3766896090541166,0.35463015457316927,0.0975668668036589,0.06789423314434746,0.3515204176431913,0.862615758449878,0.8947741761538341,11.208811230126342,6.763357295142184,10.229575021249673,0.8204463221014616,93.16082359488036,176.91458813578188,93.57432698942684,83.34135865553702,83.34026114635503,0.895985927961816,196.76674834947136,1.0
lifo,1820,1.0,1.0,0.13131868131868132,0.8667997131248485,0.9211750602892242,0.12340615858642745,0.6188777895687458,0.24792192355610265,0.22900701967709852,0.3730451998435736,0.9273170398985501,0.9886646957070386,11.164545977544982,6.469920950481466,10.551950505446271,0.7295359946176272,18.717582417582417,36.119293186813195,23.674034496703307,19.834552263736263,12.445258690109885,0.40355849033862456,320.52504538021986,1.0
random,1801,1.0,1.0,0.06607440310938367,0.5866505624822298,0.730363833959629,0.26043411400063865,0.44564689421663306,0.14100366826559682,0.11607087317462937,0.4934151081228009,0.8955703022419451,0.9333057552552376,11.152768707238392,6.612402648110274,10.304974916212823,0.7854682206030664,65.60799555802332,126.25122832204332,70.45659348362022,62.62543422543031,55.79463483842309,0.7658490577375744,207.82298445752366,1.0
trust_only,1858,1.0,1.0,0.1264800861141012,0.5064513965378056,0.6696594792772355,0.9011696823780057,0.4219775014969129,0.08447389504089269,0.06056153851893661,0.24962178710529564,0.8756595681319641,0.9274417759704684,11.54756866984039,6.85502122255591,10.675700579423706,0.8463356472836712,79.97631862217438,150.74494305274487,83.0818278234661,72.95370065016148,67.6631152292788,0.8811277287963413,52.616558570505916,1.0
info_only,1863,1.0,1.0,0.11647879763821793,0.547030821605256,0.6740170393812511,0.5690538562824321,0.362806950245209,0.18422387136004698,0.15737908928587607,0.3878483473696564,0.8642831754035567,0.8989730734455712,11.504072029200772,7.291184945814471,10.457092596368806,0.853919835244887,82.62265163714439,145.95118582930758,83.25603390660226,63.16018547289318,62.69515192270531,0.850376534300283,113.1727217777778,1.0
bacs_gated,1863,1.0,1.0,0.11164787976382179,0.5461676258140926,0.6734343093084986,0.5914378844089438,0.3752628504051332,0.17090477540895932,0.1461460521442235,0.3679032706163524,0.8673306530377459,0.8991733267083609,11.491182064882166,7.250277029635766,10.476043403981246,0.8518768280258965,82.34353193773484,145.29403451637145,83.00553192914654,62.75353613741277,62.288502587224905,0.858278825654846,91.6299686269458,1.0
plus_0.30_6,1862,1.0,1.0,0.11385606874328678,0.5665010366592371,0.6788972070006986,0.5966289199823135,0.3673857132728903,0.19911532338634672,0.17751967064848878,0.36719469611024114,0.8649899475050821,0.8991748550057963,11.423958957757437,7.199614183987616,10.372766890557267,1.0519651554852232,82.36842105263158,139.77780354887219,83.03146070891516,57.213479458646624,56.74634283995704,0.8419790576682065,91.1670254951665,1.0
tw_now,1882,1.0,1.0,0.12433581296493093,0.6076261911799157,0.7770667135709307,0.6478345190511525,0.5061376499974731,0.10148854118244245,0.073218813905267,0.3005847401259688,0.893024834252333,0.964289191611639,11.18683069254842,6.870781774691406,10.428959487600501,1.0100907512953008,51.17321997874601,117.05462723060575,55.37919510308184,68.81797821891604,61.67543212752391,0.8314501903039784,119.98898404250798,1.0
tw_arrival,1883,1.0,1.0,0.1210833775889538,0.6106417436843499,0.7305119280108139,0.7613242054812697,0.4695222367739488,0.14111950691040112,0.11810697604755087,0.30816221997188015,0.8856295307197131,0.943141869925508,11.152633587822617,6.844952716593756,10.358791488930096,1.0151782286679985,63.23101433882103,113.75980816994159,67.42543695804568,53.45335095061073,46.334371211895906,0.8597961245900845,83.17398778969729,1.0
tw_arrival_sub,1869,1.0,1.0,0.12787586944890317,0.6174122065895855,0.7324892313001642,0.7573239804256728,0.4590697748118049,0.1583424317777806,0.13329081567593,0.32919654996194975,0.8814966053235379,0.940403515666432,11.062219732838747,6.668297707354371,10.239418728623022,0.9969825928205944,63.239165329052966,112.70677778491172,69.67576113857679,54.883993202782236,43.03101664633493,0.8227507375191052,79.70892416479403,1.0
