policy,outliers_transmitted,outlier_weight_share,align_mean,align_median,catastrophic_share,server_theta_per_outlier
fifo,113,0.003931989934940043,0.39169793746177894,0.3407735584492913,0.19166666666666668,0.024825434975883715
lifo,178,0.06667136615377313,0.45284550721533895,0.34295722273794765,0.3,0.4126183264310604
random,128,0.015641882692067635,0.3138262087953416,0.2835421330471337,0.075,0.03152341803838848
trust_only,176,0.06438050709384789,0.4634502731195073,0.3362141181536312,0.3333333333333333,0.2921751488814064
info_only,155,0.0061997778988864055,0.3331502173850618,0.2787075695585822,0.08333333333333333,0.022465186373609516
bacs_gated,147,0.005937635487994737,0.3364189191578221,0.2787075695585822,0.1,0.023125672637977136
plus_0.30_6,148,0.0056943587828642474,0.3048814630461243,0.2653332733994528,0.05,0.020040325705437626
tw_now,198,0.07291547381142156,0.4604308298033033,0.3353890638692338,0.3333333333333333,0.3675679876776726
tw_arrival,184,0.07433534689428972,0.4663836438382958,0.34064068015710114,0.3416666666666667,0.38886126363269724
tw_arrival_sub,181,0.07711882745772718,0.45820743598876396,0.3318714723500925,0.3333333333333333,0.3933389342388464
