policy,n_transmitted,delivered_share,mean_attempts,outlier_share,mean_theta_schedule,mean_theta_now,mean_theta_hat_code,mean_theta_arrival,mean_delta_theta,mean_delta_theta_inliers,mean_delta_theta_outliers,retention_R_mean,retention_R_median,I_exact_mean,I_exact_median,I_theta_arrival_mean,I_hat_mean,age_at_schedule_mean,predicted_arrival_age_mean,actual_arrival_age_mean,arrival_age_MAE,arrival_age_bias,arrival_age_spearman,code_dt_hat_MAE_vs_remaining_delay,I_exact_fraction_computed
fifo,1920,1.0,1.0,0.058854166666666666,0.47261792327747787,0.5897323891655899,0.3068936344793193,0.3738857604104589,0.098732162867019,0.07230173345677342,0.5213851358255479,0.8560293990979565,0.8990568125556606,9.761658214585264,6.399711054569352,8.860465564955481,0.808305112670068,86.25208333333333,129.62977173333334,86.36670133333334,43.26330026666666,43.2630704,0.925957754970001,212.98559440000008,1.0
lifo,1920,1.0,1.0,0.09270833333333334,0.9254932476695997,0.9472884864534777,0.11293243853125248,0.6560068152533004,0.2694864324162994,0.2456954353339465,0.5023174263346066,0.9321054229067384,0.9966136737401246,10.05368157862752,6.713959004725838,9.45553228261326,0.7441882971938775,9.583333333333334,13.791086000000002,10.736397000000007,4.900841399999994,3.0546889999999918,0.4504112628034613,288.9860890000001,1.0
random,1920,1.0,1.0,0.06666666666666667,0.6408192625347325,0.7442594897958952,0.24980908971681554,0.45893190363308256,0.18188735890165003,0.14601674201501338,0.6840759953145631,0.8910252198278376,0.9237602387830544,10.062202954005247,6.766905680495828,9.231339551587945,0.7892785926870748,51.578125,83.17774733333334,52.977695666666676,32.342579533333335,30.200051666666663,0.8412131221527261,194.69636506666671,1.0
trust_only,1920,1.0,1.0,0.09166666666666666,0.5426664769246546,0.678784427202944,0.9736199818324415,0.4428134979348433,0.09985297898981128,0.0760468709393288,0.33574986785368305,0.873236741166922,0.9213639232591887,9.994686546819601,6.593586837621953,9.175605833664147,0.8385107886904762,65.05833333333334,105.61593866666668,65.80059960000001,41.004922400000005,39.81533906666667,0.9362096154010674,30.167406933333336,1.0
info_only,1920,1.0,1.0,0.08072916666666667,0.6207641447323442,0.6801920099837082,0.5621948418957792,0.3888914568455873,0.23187268788675688,0.19999153568489234,0.5949064532821823,0.8638410489300302,0.8994729166406745,10.026045677562376,6.928768010379288,9.050714414384734,0.8437583439625851,73.909375,100.62985239999999,74.23525813333335,26.69599333333333,26.39459426666667,0.823922550002728,113.55638273333336,1.0
bacs_gated,1920,1.0,1.0,0.0765625,0.618950644038778,0.6779173650547164,0.5865010451686998,0.39635245705390637,0.22259818698487166,0.19300746799556107,0.579498491529413,0.8659862826945066,0.8995179716953083,10.034074747469141,6.923806603328419,9.075149677828415,0.8431583227040815,74.19583333333334,100.6417812,74.52895733333335,26.41432986666667,26.112823866666666,0.8314857050106225,91.03725113333333,1.0
plus_0.30_6,1920,1.0,1.0,0.07708333333333334,0.6122849773832205,0.6720381875000202,0.6079605843506305,0.3795230418633203,0.2327619355199003,0.20374530530048934,0.5801772649036581,0.8597143150705783,0.8993685264741766,10.00714461469116,6.787239996220576,9.01171985631638,1.0407757048593365,76.36979166666667,103.67442386666667,76.700795,27.270535133333333,26.973628866666665,0.8349961693241973,85.35102060000001,1.0
tw_now,1920,1.0,1.0,0.103125,0.6794854298202896,0.8171910453156587,0.5980869718690585,0.5597699044951001,0.11971552532518956,0.09053552298004994,0.37349312147837366,0.9004279309943612,0.9747752150935682,9.821688955030668,6.527483203440503,9.170773272088912,0.9893238450656903,34.270833333333336,71.83899706666668,35.13135753333334,38.10134886666666,36.70763953333332,0.851582331296069,114.97224560000001,1.0
tw_arrival,1920,1.0,1.0,0.09583333333333334,0.6825204669522328,0.7739358255400275,0.6872973143047029,0.5298839529706156,0.152636513981617,0.12749732022108862,0.3898193420700804,0.8961132444566988,0.9592962078008596,9.797549683097895,6.511568572959943,9.128646563796766,0.9916553167060566,43.67604166666667,70.81667533333335,44.52304286666667,27.751468999999997,26.29363246666666,0.8630410641723941,85.12388133333334,1.0
tw_arrival_sub,1920,1.0,1.0,0.09427083333333333,0.6838277468791397,0.7742637064883179,0.6823017731587355,0.526854668124145,0.15697307875499464,0.1328233665411076,0.3889971093624506,0.89751511156459,0.9572318949685298,9.768760954757084,6.435290938472903,9.087343741322146,0.9815243643251041,43.621875,70.51236693333334,45.30926766666666,28.313628599999994,25.20309926666666,0.8637002913738445,84.22225273333333,1.0
